"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Abuyog,Leyte",2704.34175,2703.3044999999997,2701.85775,4518.195000000001,4511.726250000001,4501.81725,4505.7660000000005,4502.118750000001,4531.191000000001,4496.883000000001,4499.614500000001,4494.1515,4502.418000000001,4492.97025,4554.516750000001,4518.64725,4507.60875,4484.8185,4500.72825,4525.874250000001,4511.6565,4500.61575,4503.887250000001,4532.66475
"Alangalang,Leyte",2610.14775,2609.1105,2607.66375,4424.001,4417.53225,4407.62325,4411.572,4407.92475,4436.997,4402.689,4405.4205,4399.9574999999995,4408.224,4398.77625,4460.32275,4424.45325,4413.41475,4390.6245,4406.53425,4431.68025,4417.4625,4406.4217499999995,4409.69325,4438.4707499999995
"Albuera,Leyte",2830.4565000000002,2829.41925,2827.9725000000003,4644.30975,4637.841,4627.932,4631.88075,4628.2335,4657.30575,4622.99775,4625.72925,4620.26625,4628.53275,4619.085,4680.6315,4644.762,4633.7235,4610.93325,4626.843,4651.9890000000005,4637.77125,4626.7305,4630.002,4658.7795
"Allen,Northern Samar",3113.4660000000003,3112.42875,3110.9820000000004,4927.3192500000005,4920.8505000000005,4910.9415,4914.89025,4911.243,4940.315250000001,4906.007250000001,4908.73875,4903.27575,4911.54225,4902.0945,4963.6410000000005,4927.7715,4916.733,4893.94275,4909.8525,4934.998500000001,4920.78075,4909.74,4913.0115000000005,4941.789
"Almeria,Biliran",2832.95175,2831.9145,2830.4677500000003,4646.805,4640.33625,4630.42725,4634.376,4630.72875,4659.801,4625.493,4628.2245,4622.7615,4631.028,4621.58025,4683.12675,4647.25725,4636.21875,4613.4285,4629.33825,4654.48425,4640.2665,4629.22575,4632.49725,4661.27475
"Anahawan,Southern Leyte",2854.9230000000002,2853.88575,2852.4390000000003,4668.77625,4662.3075,4652.398499999999,4656.34725,4652.7,4681.77225,4647.46425,4650.19575,4644.732749999999,4652.99925,4643.5515,4705.098,4669.228499999999,4658.19,4635.39975,4651.309499999999,4676.4555,4662.237749999999,4651.196999999999,4654.4685,4683.245999999999
"Arteche,Eastern Samar",3021.9045,3020.86725,3019.4205,4835.757750000001,4829.289000000001,4819.38,4823.328750000001,4819.681500000001,4848.753750000001,4814.445750000001,4817.177250000001,4811.71425,4819.980750000001,4810.533,4872.079500000001,4836.21,4825.1715,4802.38125,4818.291,4843.437000000001,4829.21925,4818.1785,4821.450000000001,4850.2275
"BIliran,Biliran",2777.3025000000002,2776.26525,2774.8185000000003,4591.15575,4584.687,4574.777999999999,4578.72675,4575.0795,4604.15175,4569.84375,4572.57525,4567.112249999999,4575.37875,4565.931,4627.4775,4591.607999999999,4580.5695,4557.77925,4573.688999999999,4598.835,4584.617249999999,4573.576499999999,4576.848,4605.625499999999
"Babatngon,Leyte",2609.1870000000004,2608.14975,2606.7030000000004,4423.04025,4416.5715,4406.662499999999,4410.61125,4406.964,4436.03625,4401.72825,4404.45975,4398.996749999999,4407.26325,4397.8155,4459.362,4423.492499999999,4412.454,4389.66375,4405.5734999999995,4430.7195,4416.501749999999,4405.460999999999,4408.7325,4437.509999999999
"Balangiga,Eastern Samar",2777.0482500000003,2776.011,2774.5642500000004,4590.9015,4584.43275,4574.523749999999,4578.4725,4574.82525,4603.8975,4569.5895,4572.321,4566.857999999999,4575.1245,4565.67675,4627.22325,4591.353749999999,4580.31525,4557.525,4573.434749999999,4598.58075,4584.362999999999,4573.322249999999,4576.59375,4605.371249999999
