"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Abuyog,Leyte",243263.0,242802.0,242159.0,662420.0,659545.0,655141.0,656896.0,655275.0,668196.0,652948.0,654162.0,651734.0,655408.0,651209.0,678563.0,662621.0,657715.0,647586.0,654657.0,665833.0,659514.0,654607.0,656061.0,668851.0
"Alangalang,Leyte",201399.0,200938.0,200295.0,620556.0,617681.0,613277.0,615032.0,613411.0,626332.0,611084.0,612298.0,609870.0,613544.0,609345.0,636699.0,620757.0,615851.0,605722.0,612793.0,623969.0,617650.0,612743.0,614197.0,626987.0
"Albuera,Leyte",299314.0,298853.0,298210.0,718471.0,715596.0,711192.0,712947.0,711326.0,724247.0,708999.0,710213.0,707785.0,711459.0,707260.0,734614.0,718672.0,713766.0,703637.0,710708.0,721884.0,715565.0,710658.0,712112.0,724902.0
"Allen,Northern Samar",425096.0,424635.0,423992.0,844253.0,841378.0,836974.0,838729.0,837108.0,850029.0,834781.0,835995.0,833567.0,837241.0,833042.0,860396.0,844454.0,839548.0,829419.0,836490.0,847666.0,841347.0,836440.0,837894.0,850684.0
"Almeria,Biliran",300423.0,299962.0,299319.0,719580.0,716705.0,712301.0,714056.0,712435.0,725356.0,710108.0,711322.0,708894.0,712568.0,708369.0,735723.0,719781.0,714875.0,704746.0,711817.0,722993.0,716674.0,711767.0,713221.0,726011.0
"Anahawan,Southern Leyte",310188.0,309727.0,309084.0,729345.0,726470.0,722066.0,723821.0,722200.0,735121.0,719873.0,721087.0,718659.0,722333.0,718134.0,745488.0,729546.0,724640.0,714511.0,721582.0,732758.0,726439.0,721532.0,722986.0,735776.0
"Arteche,Eastern Samar",384402.0,383941.0,383298.0,803559.0,800684.0,796280.0,798035.0,796414.0,809335.0,794087.0,795301.0,792873.0,796547.0,792348.0,819702.0,803760.0,798854.0,788725.0,795796.0,806972.0,800653.0,795746.0,797200.0,809990.0
"BIliran,Biliran",275690.0,275229.0,274586.0,694847.0,691972.0,687568.0,689323.0,687702.0,700623.0,685375.0,686589.0,684161.0,687835.0,683636.0,710990.0,695048.0,690142.0,680013.0,687084.0,698260.0,691941.0,687034.0,688488.0,701278.0
"Babatngon,Leyte",200972.0,200511.0,199868.0,620129.0,617254.0,612850.0,614605.0,612984.0,625905.0,610657.0,611871.0,609443.0,613117.0,608918.0,636272.0,620330.0,615424.0,605295.0,612366.0,623542.0,617223.0,612316.0,613770.0,626560.0
"Balangiga,Eastern Samar",275577.0,275116.0,274473.0,694734.0,691859.0,687455.0,689210.0,687589.0,700510.0,685262.0,686476.0,684048.0,687722.0,683523.0,710877.0,694935.0,690029.0,679900.0,686971.0,698147.0,691828.0,686921.0,688375.0,701165.0
