"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Abuyog,Leyte",10187.0,10086.0,9924.0,10662.0,10899.0,10479.0,11090.0,10901.0,11388.0,10078.0,10684.0,10355.0,10974.0,10397.0,12474.0,11375.0,10696.0,9753.0,10377.0,11239.0,11033.0,10211.0,10979.0,11418.0
"Alangalang,Leyte",8085.0,7984.0,7822.0,8560.0,8797.0,8377.0,8988.0,8799.0,9286.0,7976.0,8582.0,8253.0,8872.0,8295.0,10372.0,9273.0,8594.0,7651.0,8275.0,9137.0,8931.0,8109.0,8877.0,9316.0
"Albuera,Leyte",14519.0,14418.0,14256.0,14994.0,15231.0,14811.0,15422.0,15233.0,15720.0,14410.0,15016.0,14687.0,15306.0,14729.0,16806.0,15707.0,15028.0,14085.0,14709.0,15571.0,15365.0,14543.0,15311.0,15750.0
"Allen,Northern Samar",27384.0,27283.0,27121.0,27859.0,28096.0,27676.0,28287.0,28098.0,28585.0,27275.0,27881.0,27552.0,28171.0,27594.0,29671.0,28572.0,27893.0,26950.0,27574.0,28436.0,28230.0,27408.0,28176.0,28615.0
"Almeria,Biliran",15472.0,15371.0,15209.0,15947.0,16184.0,15764.0,16375.0,16186.0,16673.0,15363.0,15969.0,15640.0,16259.0,15682.0,17759.0,16660.0,15981.0,15038.0,15662.0,16524.0,16318.0,15496.0,16264.0,16703.0
"Anahawan,Southern Leyte",15229.0,15128.0,14966.0,15704.0,15941.0,15521.0,16132.0,15943.0,16430.0,15120.0,15726.0,15397.0,16016.0,15439.0,17516.0,16417.0,15738.0,14795.0,15419.0,16281.0,16075.0,15253.0,16021.0,16460.0
"Arteche,Eastern Samar",23092.0,22991.0,22829.0,23567.0,23804.0,23384.0,23995.0,23806.0,24293.0,22983.0,23589.0,23260.0,23879.0,23302.0,25379.0,24280.0,23601.0,22658.0,23282.0,24144.0,23938.0,23116.0,23884.0,24323.0
"BIliran,Biliran",13470.0,13369.0,13207.0,13945.0,14182.0,13762.0,14373.0,14184.0,14671.0,13361.0,13967.0,13638.0,14257.0,13680.0,15757.0,14658.0,13979.0,13036.0,13660.0,14522.0,14316.0,13494.0,14262.0,14701.0
"Babatngon,Leyte",8078.0,7977.0,7815.0,8553.0,8790.0,8370.0,8981.0,8792.0,9279.0,7969.0,8575.0,8246.0,8865.0,8288.0,10365.0,9266.0,8587.0,7644.0,8268.0,9130.0,8924.0,8102.0,8870.0,9309.0
"Balangiga,Eastern Samar",13922.0,13821.0,13659.0,14397.0,14634.0,14214.0,14825.0,14636.0,15123.0,13813.0,14419.0,14090.0,14709.0,14132.0,16209.0,15110.0,14431.0,13488.0,14112.0,14974.0,14768.0,13946.0,14714.0,15153.0
