"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Abuyog,Leyte",850.973,850.973,850.973,2243.81825,2296.35575,2286.44675,2299.8635,2298.599,2315.8205,2281.5125000000003,2298.482,2290.94675,2299.71725,2290.2132500000002,2339.1462500000002,2306.9645,2287.7630000000004,2281.57775,2285.35775,2310.5037500000003,2291.81075,2262.203,2297.1005,2317.2942500000004
"Alangalang,Leyte",804.20675,804.20675,804.20675,2123.675,2176.2125,2166.3035,2179.7202500000003,2178.45575,2195.6772499999997,2161.36925,2178.33875,2170.8035,2179.5740000000005,2170.07,2219.003,2186.82125,2167.6197500000003,2161.4345000000003,2165.2145,2190.3605000000002,2171.6675000000005,2142.0597500000003,2176.9572500000004,2197.1510000000003
"Albuera,Leyte",678.0672500000001,678.0672500000001,678.0672500000001,2338.8334999999997,2391.371,2381.507,2394.87875,2393.6592499999997,2410.8357499999997,2376.52775,2393.4972499999994,2385.962,2394.7325,2385.2285,2434.2065000000002,2401.97975,2382.7782500000003,2376.593,2380.3729999999996,2405.5190000000002,2386.871,2357.26325,2392.11575,2412.3095000000003
"Allen,Northern Samar",1386.24125,1386.24125,1386.24125,1513.1019999999999,1565.6395,1555.7305000000001,1569.14725,1567.88275,1585.1042499999999,1550.79625,1567.7657499999998,1560.2305000000001,1569.0010000000002,1559.497,1608.43,1576.24825,1557.0467500000002,1550.8615,1554.6415,1579.7875000000001,1561.0945000000002,1531.48675,1566.38425,1586.5780000000002
"Almeria,Biliran",834.53225,834.53225,834.53225,2346.479,2399.0164999999997,2389.1075,2402.52425,2401.25975,2418.48125,2384.17325,2401.14275,2393.6075,2402.378,2392.874,2441.807,2409.62525,2390.42375,2384.2385,2388.0185,2413.1645,2394.4715,2364.86375,2399.76125,2419.955
"Anahawan,Southern Leyte",1001.55425,1001.55425,1001.55425,2394.4444999999996,2446.982,2437.0730000000003,2450.4897499999997,2449.22525,2466.44675,2432.13875,2449.1082499999998,2441.5730000000003,2450.3435,2440.8395,2489.7725,2457.5907500000003,2438.38925,2432.2039999999997,2435.984,2461.13,2442.437,2412.82925,2447.72675,2467.9205
"Arteche,Eastern Samar",1294.763,1294.763,1294.763,1966.89725,2019.43475,2009.5257500000002,2022.9425,2021.6779999999999,2038.8995,2004.5915,2021.5609999999997,2014.0257500000002,2022.7962500000003,2013.29225,2062.22525,2030.0435000000002,2010.842,2004.65675,2008.4367499999998,2033.58275,2014.8897500000003,1985.2820000000002,2020.1795000000002,2040.37325
"BIliran,Biliran",778.883,778.883,778.883,2290.82975,2343.3672500000002,2333.45825,2346.875,2345.6105,2362.832,2328.5240000000003,2345.4934999999996,2337.95825,2346.72875,2337.2247500000003,2386.1577500000003,2353.976,2334.7745000000004,2328.58925,2332.3692499999997,2357.5152500000004,2338.82225,2309.2145,2344.112,2364.3057500000004
"Babatngon,Leyte",815.8145,815.8145,815.8145,2093.417,2145.9545,2136.0455,2149.46225,2148.19775,2165.41925,2131.11125,2148.0807499999996,2140.5455,2149.3160000000003,2139.812,2188.745,2156.56325,2137.36175,2131.1765,2134.9565,2160.1025,2141.4095,2111.80175,2146.69925,2166.893
"Balangiga,Eastern Samar",1049.86625,1049.86625,1049.86625,2221.4622499999996,2273.99975,2264.0907500000003,2277.5074999999997,2276.243,2293.4645,2259.1565,2276.1259999999997,2268.5907500000003,2277.36125,2267.85725,2316.79025,2284.6085000000003,2265.407,2259.2217499999997,2263.00175,2288.14775,2269.45475,2239.8469999999998,2274.7445,2294.93825
