"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Abuyog,Leyte",26167.0,26170.0,26446.0,76352.0,78288.0,77868.0,78419.0,78472.0,78777.0,77467.0,78334.0,77827.0,78617.0,77944.0,79863.0,78721.0,77838.0,77673.0,77766.0,78628.0,78175.0,78019.0,78304.0,78807.0
"Alangalang,Leyte",24628.0,24631.0,24907.0,73329.0,75265.0,74845.0,75396.0,75449.0,75754.0,74444.0,75311.0,74804.0,75594.0,74921.0,76840.0,75698.0,74815.0,74650.0,74743.0,75605.0,75152.0,74996.0,75281.0,75784.0
"Albuera,Leyte",20861.0,20864.0,21140.0,80444.0,82380.0,81961.0,82511.0,82565.0,82869.0,81559.0,82426.0,81919.0,82709.0,82036.0,83956.0,82813.0,81930.0,81765.0,81858.0,82720.0,82268.0,82112.0,82396.0,82899.0
"Allen,Northern Samar",46707.0,46710.0,46986.0,49726.0,51662.0,51242.0,51793.0,51846.0,52151.0,50841.0,51708.0,51201.0,51991.0,51318.0,53237.0,52095.0,51212.0,51047.0,51140.0,52002.0,51549.0,51393.0,51678.0,52181.0
"Almeria,Biliran",26047.0,26050.0,26326.0,80715.0,82651.0,82231.0,82782.0,82835.0,83140.0,81830.0,82697.0,82190.0,82980.0,82307.0,84226.0,83084.0,82201.0,82036.0,82129.0,82991.0,82538.0,82382.0,82667.0,83170.0
"Anahawan,Southern Leyte",31209.0,31212.0,31488.0,81396.0,83332.0,82912.0,83463.0,83516.0,83821.0,82511.0,83378.0,82871.0,83661.0,82988.0,84907.0,83765.0,82882.0,82717.0,82810.0,83672.0,83219.0,83063.0,83348.0,83851.0
"Arteche,Eastern Samar",42422.0,42425.0,42701.0,65327.0,67263.0,66843.0,67394.0,67447.0,67752.0,66442.0,67309.0,66802.0,67592.0,66919.0,68838.0,67696.0,66813.0,66648.0,66741.0,67603.0,67150.0,66994.0,67279.0,67782.0
"BIliran,Biliran",24045.0,24048.0,24324.0,78713.0,80649.0,80229.0,80780.0,80833.0,81138.0,79828.0,80695.0,80188.0,80978.0,80305.0,82224.0,81082.0,80199.0,80034.0,80127.0,80989.0,80536.0,80380.0,80665.0,81168.0
"Babatngon,Leyte",25267.0,25270.0,25546.0,71622.0,73558.0,73138.0,73689.0,73742.0,74047.0,72737.0,73604.0,73097.0,73887.0,73214.0,75133.0,73991.0,73108.0,72943.0,73036.0,73898.0,73445.0,73289.0,73574.0,74077.0
"Balangiga,Eastern Samar",33247.0,33250.0,33526.0,76082.0,78018.0,77598.0,78149.0,78202.0,78507.0,77197.0,78064.0,77557.0,78347.0,77674.0,79593.0,78451.0,77568.0,77403.0,77496.0,78358.0,77905.0,77749.0,78034.0,78537.0
"Balangkayan,Eastern Samar",36644.0,36647.0,36923.0,73600.0,75536.0,75116.0,75667.0,75720.0,76025.0,74715.0,75582.0,75075.0,75865.0,75192.0,77111.0,75969.0,75086.0,74921.0,75014.0,75876.0,75423.0,75267.0,75552.0,76055.0
